feature,gain
ORGANIZATION_TYPE_Industry__type_12,153.55139923095703
OCCUPATION_TYPE_Cooking_staff,139.74799728393555
PREV_RATE_INTEREST_PRIVILEGED_SUM,137.3113021850586
NAME_HOUSING_TYPE_With_parents,134.87900161743164
NAME_TYPE_SUITE_Other_A,118.68060302734375
FLAG_DOCUMENT_15,118.597900390625
NAME_FAMILY_STATUS_Civil_marriage,112.31000137329102
PREV_NFLAG_LAST_APPL_IN_DAY_MEAN,112.08999633789062
FLAG_OWN_REALTY_Y,111.90609741210938
REG_REGION_NOT_LIVE_REGION,107.77460098266602
BUREAU_CNT_CREDIT_PROLONG_COUNT,106.47700119018555
INST_AMT_INSTALMENT_COUNT,96.37020111083984
HOUSETYPE_MODE_terraced_house,93.62789916992188
ORGANIZATION_TYPE_Trade__type_7,91.09140014648438
FONDKAPREMONT_MODE_nan,87.7401008605957
ORGANIZATION_TYPE_Legal_Services,86.39370155334473
OCCUPATION_TYPE_Cleaning_staff,83.10600280761719
ORGANIZATION_TYPE_Trade__type_3,79.55030059814453
NAME_TYPE_SUITE_Spouse__partner,78.7916030883789
OCCUPATION_TYPE_Low-skill_Laborers,77.4894027709961
PREV_NFLAG_INSURED_ON_APPROVAL_MAX,76.15879821777344
BUREAU_BB_MONTHS_BALANCE_MIN_COUNT,76.02780151367188
REG_REGION_NOT_WORK_REGION,72.30660247802734
EMERGENCYSTATE_MODE_nan,70.92949676513672
PREV_RATE_INTEREST_PRIVILEGED_MEAN,69.71160125732422
BUREAU_BB_MONTHS_BALANCE_MAX_COUNT,65.4906005859375
ORGANIZATION_TYPE_Business_Entity_Type_2,63.98429870605469
BUREAU_BB_MONTHS_BALANCE_COUNT_COUNT,62.12080001831055
AMT_REQ_CREDIT_BUREAU_DAY,59.108299255371094
PREV_RATE_INTEREST_PRIMARY_MIN,58.43830108642578
EMERGENCYSTATE_MODE_No,56.964599609375
ORGANIZATION_TYPE_Transport__type_4,55.66080093383789
PREV_NFLAG_INSURED_ON_APPROVAL_MIN,52.36989974975586
ORGANIZATION_TYPE_Services,52.00619888305664
ORGANIZATION_TYPE_Telecom,51.928199768066406
NAME_TYPE_SUITE_Children,51.59769821166992
BUREAU_AMT_ANNUITY_COUNT,47.7692985534668
OCCUPATION_TYPE_IT_staff,32.153900146484375
HOUSETYPE_MODE_nan,32.004600524902344
BUREAU_CNT_CREDIT_PROLONG_MIN,0.0
BUREAU_CREDIT_DAY_OVERDUE_MAX,0.0
BUREAU_CREDIT_DAY_OVERDUE_MIN,0.0
BUREAU_CREDIT_DAY_OVERDUE_SUM,0.0
BUREAU_BB_MONTHS_BALANCE_SUM_COUNT,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_10,0.0
BUREAU_CREDIT_DAY_OVERDUE_MEAN,0.0
PREV_RATE_INTEREST_PRIVILEGED_COUNT,0.0
PREV_DAYS_FIRST_DRAWING_MAX,0.0
PREV_DAYS_DECISION_COUNT,0.0
PREV_SELLERPLACE_AREA_COUNT,0.0
PREV_DAYS_LAST_DUE_1ST_VERSION_COUNT,0.0
ORGANIZATION_TYPE_Industry__type_1,0.0
DAYS_EMPLOYED_ANOM,0.0
ORGANIZATION_TYPE_Hotel,0.0
PREV_DAYS_LAST_DUE_COUNT,0.0
ORGANIZATION_TYPE_Industry__type_10,0.0
ORGANIZATION_TYPE_Housing,0.0
PREV_DAYS_TERMINATION_COUNT,0.0
PREV_NFLAG_INSURED_ON_APPROVAL_COUNT,0.0
BUREAU_AMT_CREDIT_SUM_COUNT,0.0
BUREAU_AMT_CREDIT_SUM_OVERDUE_MIN,0.0
BUREAU_AMT_CREDIT_SUM_OVERDUE_COUNT,0.0
FLAG_CONT_MOBILE,0.0
ORGANIZATION_TYPE_Transport__type_1,0.0
ORGANIZATION_TYPE_Transport__type_2,0.0
ORGANIZATION_TYPE_Trade__type_5,0.0
ORGANIZATION_TYPE_Trade__type_6,0.0
ORGANIZATION_TYPE_University,0.0
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
PREV_RATE_INTEREST_PRIVILEGED_MIN,0.0
BUREAU_DAYS_CREDIT_UPDATE_COUNT,0.0
FLAG_DOCUMENT_2,0.0
INST_NUM_INSTALMENT_NUMBER_MIN,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,0.0
NAME_INCOME_TYPE_Maternity_leave,0.0
NAME_INCOME_TYPE_Businessman,0.0
NAME_TYPE_SUITE_nan,0.0
NAME_TYPE_SUITE_Other_B,0.0
